epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,32.8663,0.45665,0.5409,0.87658,0.99344,1,0.995,0.92386,0.31873,0.4165,0.77114,0.000911,0.000911,0.000911
57,33.3693,0.4701,0.54669,0.86075,0.99344,1,0.995,0.92386,0.31873,0.4165,0.77114,0.0008912,0.0008912,0.0008912
58,33.8925,0.46124,0.52809,0.87914,0.99335,1,0.995,0.91432,0.32818,0.41375,0.77245,0.0008714,0.0008714,0.0008714
59,34.5028,0.46643,0.5208,0.87434,0.99335,1,0.995,0.91432,0.32818,0.41375,0.77245,0.0008516,0.0008516,0.0008516
60,35.0671,0.40916,0.48342,0.86725,0.99355,1,0.995,0.89866,0.41806,0.45188,0.78355,0.0008318,0.0008318,0.0008318
61,35.6375,0.44092,0.5255,0.87775,0.99355,1,0.995,0.89866,0.41806,0.45188,0.78355,0.000812,0.000812,0.000812
62,36.2019,0.41872,0.49647,0.82892,0.99354,1,0.995,0.87881,0.50399,0.43773,0.79403,0.0007922,0.0007922,0.0007922
63,36.7267,0.42257,0.49224,0.86496,0.99354,1,0.995,0.87881,0.50399,0.43773,0.79403,0.0007724,0.0007724,0.0007724
64,37.2706,0.41769,0.51816,0.86728,0.9934,1,0.995,0.93436,0.38449,0.43551,0.78347,0.0007526,0.0007526,0.0007526
65,37.7821,0.38997,0.4725,0.84942,0.9934,1,0.995,0.93436,0.38449,0.43551,0.78347,0.0007328,0.0007328,0.0007328
66,38.4218,0.36518,0.46685,0.84843,0.9934,1,0.995,0.97516,0.28744,0.38002,0.76842,0.000713,0.000713,0.000713
67,38.9631,0.37279,0.45801,0.8568,0.9934,1,0.995,0.97516,0.28744,0.38002,0.76842,0.0006932,0.0006932,0.0006932
68,39.5254,0.4165,0.45523,0.84319,0.99349,1,0.995,0.92907,0.31112,0.37886,0.76544,0.0006734,0.0006734,0.0006734
69,40.0594,0.42161,0.45608,0.83272,0.99349,1,0.995,0.92907,0.31112,0.37886,0.76544,0.0006536,0.0006536,0.0006536
70,40.5826,0.39137,0.44519,0.80978,0.99368,1,0.995,0.97366,0.3144,0.38448,0.76304,0.0006338,0.0006338,0.0006338
71,41.1012,0.42376,0.46773,0.84308,0.99368,1,0.995,0.97366,0.3144,0.38448,0.76304,0.000614,0.000614,0.000614
72,41.7094,0.38918,0.4405,0.8391,0.99357,1,0.995,0.96834,0.31844,0.39313,0.76235,0.0005942,0.0005942,0.0005942
73,42.2115,0.41148,0.45022,0.86537,0.99357,1,0.995,0.96834,0.31844,0.39313,0.76235,0.0005744,0.0005744,0.0005744
74,42.7373,0.42766,0.47481,0.85444,0.99371,1,0.995,0.9066,0.32584,0.40627,0.76333,0.0005546,0.0005546,0.0005546
75,43.2225,0.35667,0.43051,0.84326,0.99371,1,0.995,0.9066,0.32584,0.40627,0.76333,0.0005348,0.0005348,0.0005348
76,43.7723,0.40384,0.45733,0.86142,0.99377,1,0.995,0.9078,0.32004,0.37711,0.76348,0.000515,0.000515,0.000515
77,44.2779,0.36805,0.45055,0.84107,0.99377,1,0.995,0.9078,0.32004,0.37711,0.76348,0.0004952,0.0004952,0.0004952
78,44.7952,0.38633,0.44473,0.83097,0.99398,1,0.995,0.93056,0.30147,0.33754,0.7621,0.0004754,0.0004754,0.0004754
79,45.3931,0.40747,0.43803,0.81628,0.99398,1,0.995,0.93056,0.30147,0.33754,0.7621,0.0004556,0.0004556,0.0004556
80,45.9124,0.37231,0.41983,0.85237,0.99407,1,0.995,0.97366,0.27864,0.32148,0.75979,0.0004358,0.0004358,0.0004358
81,46.4333,0.31362,0.40604,0.81574,0.99407,1,0.995,0.97366,0.27864,0.32148,0.75979,0.000416,0.000416,0.000416
82,46.9759,0.3398,0.42745,0.84004,0.99403,1,0.995,0.97366,0.2612,0.314,0.76122,0.0003962,0.0003962,0.0003962
83,47.4933,0.33411,0.40958,0.85205,0.99403,1,0.995,0.97366,0.2612,0.314,0.76122,0.0003764,0.0003764,0.0003764
84,48.021,0.34491,0.43509,0.84415,0.99409,1,0.995,0.97516,0.25896,0.32049,0.7623,0.0003566,0.0003566,0.0003566
85,48.5464,0.34435,0.40328,0.83472,0.99409,1,0.995,0.97516,0.25896,0.32049,0.7623,0.0003368,0.0003368,0.0003368
86,49.2105,0.37124,0.40631,0.8616,0.99417,1,0.995,0.97516,0.25885,0.31484,0.76146,0.000317,0.000317,0.000317
87,49.7123,0.37489,0.41741,0.85429,0.99417,1,0.995,0.97516,0.25885,0.31484,0.76146,0.0002972,0.0002972,0.0002972
88,50.2619,0.3434,0.41036,0.84485,0.99413,1,0.995,0.97679,0.23892,0.30267,0.76117,0.0002774,0.0002774,0.0002774
89,50.8269,0.36045,0.41925,0.82633,0.99413,1,0.995,0.97679,0.23892,0.30267,0.76117,0.0002576,0.0002576,0.0002576
90,51.4467,0.33698,0.39843,0.82312,0.99417,1,0.995,0.995,0.22766,0.3024,0.7579,0.0002378,0.0002378,0.0002378
91,77.9811,0.27655,0.50217,0.76662,0.99417,1,0.995,0.995,0.22766,0.3024,0.7579,0.000218,0.000218,0.000218
92,78.5986,0.29666,0.48174,0.78829,0.99417,1,0.995,0.995,0.2533,0.28391,0.75863,0.0001982,0.0001982,0.0001982
93,79.2675,0.25875,0.46131,0.7749,0.99417,1,0.995,0.995,0.2533,0.28391,0.75863,0.0001784,0.0001784,0.0001784
94,79.8439,0.26802,0.50185,0.77628,0.99418,1,0.995,0.94508,0.2978,0.29725,0.76081,0.0001586,0.0001586,0.0001586
95,80.3732,0.26477,0.46518,0.77829,0.99418,1,0.995,0.94508,0.2978,0.29725,0.76081,0.0001388,0.0001388,0.0001388
96,80.9116,0.26317,0.42098,0.779,0.99419,1,0.995,0.92682,0.32132,0.31419,0.76368,0.000119,0.000119,0.000119
97,81.4884,0.28151,0.43217,0.78269,0.99419,1,0.995,0.92682,0.32132,0.31419,0.76368,9.92e-05,9.92e-05,9.92e-05
98,82.055,0.27185,0.46848,0.77983,0.99413,1,0.995,0.90781,0.31776,0.32101,0.76422,7.94e-05,7.94e-05,7.94e-05
99,82.573,0.24241,0.41306,0.7677,0.99413,1,0.995,0.90781,0.31776,0.32101,0.76422,5.96e-05,5.96e-05,5.96e-05
100,83.2302,0.27331,0.42715,0.7745,0.99412,1,0.995,0.90536,0.30945,0.31925,0.76353,3.98e-05,3.98e-05,3.98e-05
